"BankName","Scene","Description","Type","TimeCycle","Vendor"
"光大银行","授信调查智能报告","自主研发基于大模型技术的授信调查智能报告一体化解决方案，以大语言模型为底座，通过大数据驱动自动获取、加工行内外相关数据，对申请企业各维度指标进行综合分析，揭示企业风险并自动生成授信报告","自主研发上线项目","2025年5月上线，已服务近2000名客户经理，覆盖29家一级分行","光大银行自主研发"
"陆金所控股","智能客户尽调","推出智能客户尽调解决方案'智盾'，依托大模型技术、OCR识别和机器学习算法，实现信贷尽调全流程的智能化升级，为民营小微企业提供更高效、安全的融资服务。","产品发布","2025年2月底推出","陆金所控股自主研发"
"中国光大银行","授信调查智能报告","上线自主研发的基于大模型技术的'授信调查智能报告'一体化解决方案，以大语言模型为底座，通过大数据驱动，自动获取、加工行内外相关数据，对申请企业的各维度指标进行综合分析，揭示企业风险、做出风险提示，最后按章节自动生成授信报告。自动生成一份百页调查报告平均耗时不到5分钟。","自主研发上线","2025年5月上线，已服务一线客户经理近2000名，覆盖29家一级分行","中国光大银行自主研发"
"张家港农商银行","大模型算力服务器及相关设备租赁","发布大模型算力服务器及相关设备租赁项目竞争性磋商公告，欢迎符合要求的供应商参与","招标采购","2025年4月","待确定"
"汇丰银行","全机构生成式AI解决方案","与Mistral AI建立战略合作伙伴关系，将Mistral当前和未来的商用模型导入企业运营中，合作开发全机构范围内的GenAI解决方案。汇丰银行将在内部算力基础设施自托管运行内部所需的AI模型，覆盖全球员工，支持银行各部门不同需求的业务任务，加强对复杂且文件繁多的客户贷款或融资流程的财务分析，帮助翻译和验证多种语言的信息，缩短开发创新周期。","战略合作","2025年12月宣布合作","Mistral AI"
"平安银行","审计大模型","平安银行稽核监察部、金融科技部联合拓尔思，针对内部审计垂直场景，基于审计智库搭建高性能向量数据库，依托银行自研BankGPT平台和拓尔思先进大模型落地能力开发的AI审计系统，开发智能问答、智能审计报告、智能文本分析等功能","合作开发项目","2025年项目（入选金融数字化最佳实践案例）","拓尔思"
"云南省联社","大模型服务器采购","科技结算中心采购大模型服务器，中标总价超800万元，旨在满足大模型服务器需求，探索引入DeepSeek等AI大模型","招标采购","2025年3-5月","待确定"
"微众银行","AI原生银行建设","构建AI基础设施、AI应用、AI治理三个层次的AI系统化能力。推出金融行业首款自研AI智算交换机，实现算力组网成本降低70%。部署DeepSeek等主流开源大模型，应用于智能营销、智能风控、智能创作平台、智能坐席辅助、智能尽职调查报告生成、智能编码助手等多个场景。","自主研发","2025年持续推进，1月推出自研AI智算交换机，2月完成DeepSeek-R1满参数模型部署","微众银行自主研发，集成DeepSeek等开源大模型"
"中信银行","财富管理大模型建设及应用实施服务","采购财富管理大模型建设及应用实施服务，推动财富管理业务的智能化转型","公开招标项目","2025年5月发布结果公示","阿里云计算有限公司"
"武汉农商行","新客服系统框架服务","发布新客服系统框架服务采购招标公告，开展大模型驱动银行业智能升级培训活动","招标采购","2025年1月","待确定"
"中信银行","大模型信创算力服务器及配套网络设备采购","采购大模型信创算力服务器及配套网络设备，支持大模型应用的算力需求","公开招标项目","2025年2月启动招标，3月发布中标候选人公示","北京金信润天信息技术股份有限公司（第一候选人）"
"武汉众邦银行","DeepSeek本地化部署应用","成功完成国产大模型DeepSeek的本地化部署，在智能运维、人才招聘和数据决策三大核心场景中实现深度应用。ChatOPS系统通过融合本地知识库与DeepSeek R1模型的深度推理能力，实现全天候IT服务支持；招聘系统可秒级解析海量简历；'AI问数精灵'通过自然语言交互实现数据查询与分析。","技术部署与应用","2023年5月启动技术布局，2025年2月6日正式引入DeepSeek模型","DeepSeek大模型"
"广发银行","大模型基础平台建设及智能体场景应用需求实施","采购大模型基础平台建设及智能体场景应用需求实施项目应用软件产品及包干开发服务，推动大模型基础平台建设和智能体场景应用","招标项目","2025年4月启动招标，4月28日发布中标结果","阿里云计算有限公司"
"中国进出口银行","人工智能平台建设与DeepSeek一体机采购","为积极探索人工智能实践路径和应用场景，结合大语言模型快速发展现状，启动人工智能平台建设工作，并在此基础上实践数字员工等能够显著赋能日常办公和业务工作的应用场景，增强技术团队自主可控能力，本地化部署人工智能平台，构建基础算力、存储、硬件管理、网络交互，拟采购符合信创工作要求的一体机。","公开招标","2025年3月招标","未明确（招标中）"
"浙商银行","AI智慧公文能力建设","采购AI智慧公文能力建设服务，提升公文处理的智能化水平","公开招标项目","2025年11月启动招标","待确定（招标进行中）"
"成都银行","大模型分析系统、智能问答助手、智能营销助手","发布大模型分析系统采购项目，预算300万元；已完成DeepSeek大模型本地化部署，在票据业务领域打造智能问答助手，在对公营销领域上线智能营销助手","招标采购、技术部署","2025年2-3月","火山引擎、DeepSeek"
"度小满","金融推理大模型应用","开源国内首个金融推理大模型轩辕-FinX1，打造'度小满原力AI平台'。将大模型应用于信审工作，通过学习优秀信审员的判断逻辑，AI助手帮助员工将信审时间从10分钟缩短至30秒，风险降低50%以上。智能化征信解读中台将报告解读出40万维的风险变量，有效降低信贷风险25%。","自主研发与开源","2024年12月开源轩辕-FinX1，2025年持续推进应用","度小满自主研发"
"渤海银行","大模型算力服务器采购","采购大模型算力服务器（PG1_A910E芯片），支持大模型应用的算力需求","公开招标项目","2025年12月发布中标结果","上海合胜计算机科技股份有限公司"
"中国邮政储蓄银行","智能抽取写作平台","基于大模型的智能抽取写作平台建设服务，落地投研、尽调报告生成、会议纪要等写作抽取场景，提供结构化行业数据用于各类报告撰写引用。","公开招标","2025年1月中标，中标金额106.8万元","北京融汇金信信息技术有限公司"
"天津银行","对公AI产品图谱大模型、对公客户全景视图","发布对公AI产品图谱大模型及对公客户全景视图相关改造等二个项目公开招标公告","招标采购","2025年12月","待确定"
"渤海银行","智能风控报告项目","自主研发的智能风控报告项目，首个成功接入AI大模型的业务应用，采用""数据标注+机器学习模型+大语言模型""协同机制，从业务结构、资产质量、产品类型、分支机构、客户经理等七大维度构建风险评估矩阵","自主研发项目","2025年项目（入选案例集）","渤海银行自主研发"
"广发银行","大模型基础平台建设及智能体场景应用","大模型基础平台建设及智能体场景应用需求实施项目，提供包干服务。","公开招标","2025年4月中标","阿里云计算有限公司"
"中国邮政储蓄银行","语音智能化系统大模型辅助客户服务","语音智能化系统大模型辅助客户服务软件开发与集成服务，通过为客户提供更加精准、高效、个性化的创新性服务，推动银行客户服务的智能化升级。","公开招标","2024年10月中标，2025年实施并投入使用","新晨科技（与华为合作）"
"恒丰银行","大模型应用服务平台建设配套GPU服务器购置","购置4台GPU（GPU芯片为昇腾）专用服务器，提供GPU服务器安装测试及模型调优等集成服务，支持大模型应用服务平台建设","公开招标项目","2025年4月启动招标，预算760万元","待确定（招标进行中）"
"南京银行","客户经理助手、企业分析报告、AI服务管理系统","使用DeepSeek作为基座，加快部署大模型，计划2025年落地100个场景；基于R1模型为客户经理构建助手，10分钟内完成以往需要1天的信息检索与整理工作，已撰写企业分析报告600多篇","技术部署","2025年全年","DeepSeek"
"天津银行","智能客服数字化运营平台优化","智能客服数字化运营平台功能模块优化（智能外呼、坐席操作台等），提升客户服务质量。","公开招标","2025年3月中标","北京中科金财科技股份有限公司"
"中国光大银行","智能化客服应用系统","智能化客服应用系统产品采购，对接客服新一代客服交易子系统，及时发现当前坐席违规和过度营销情况；对接远程银行智慧服务运营管理系统，实现智能辅助功能；增加知识维护模块，提高运营人员知识维护效率。","公开招标","2025年2月中标","深圳追一科技有限公司"
"长安银行","AI大模型平台与多场景助手","AI大模型平台与多场景助手项目建设。","公开招标","2025年1月中标","北京银信长远科技股份有限公司"
"杭州银行","办公自动化、研发助手、智能问数、营销助手、智能客服、风控尽调报告","已完成DeepSeek32B蒸馏版部署，计划推进DeepSeek-V3和DeepSeek-R1部署；大模型技术已应用于办公自动化、研发助手、智能问数、营销助手、智能客服和风控尽调报告生成等对内服务场景","技术部署","2025年3月","DeepSeek"
"华夏银行","DeepSeek大模型部署应用","已在行内部署DeepSeek大模型，主要应用于：为全体员工提供智能问答、辅助报告生成、邮箱助手等大模型基础服务；实现外呼客户购买意向分析和客服消保合规质检功能；正在积极开展智能风控、智能问数、智能客服等场景的应用探索","技术部署与应用","2025年3月确认部署","DeepSeek（模型提供商）"
"宁波银行","智能风控、财资管理、司库服务","与Marketingforce迈富时达成战略合作，推动金融数智化；已成立总行大模型项目部，研究探索AI大模型应用；发布财资大管家2025版和鲲鹏司库2.0","技术合作","2025年3-5月","Marketingforce迈富时"
"江苏江阴农村商业银行","流水分析","基于大模型的流水分类系统用服务器采购项目，为配合基于大模型的流水分类系统项目建设，需要采购X86服务器用于流水分类系统的部署","服务器采购","2025年2月20日发布招标公告","待确定（招标中）"
"招商银行广州分行","金融领域AI基础大模型建设","开展金融领域业务场景AI基础大模型研究及应用工作，采购AI大模型专用服务器租赁服务，基于金融领域特定业务场景大模型需求研发，提供相关技术支持，框架协议有效期为2年。","供应商征集公告","2025年3月发布征集公告，框架协议有效期2年","待确定"
"浦发银行","大模型应用体系建设信创算力采购","大模型应用体系建设项目第二批信创算力采购之鲲鹏芯片服务器项目，预算超过480万元，用于支持大模型应用体系建设。","招投标项目","2025年3月招标","待确定"
"中国银行山东省分行","流水分析","普惠金融事业部流水智能分析服务采购项目，包括流水取数服务及数据分析服务两部分，用于流水智能分析","服务采购","2025年4月二次竞争性磋商，服务期12个月","待确定（招标中）"
"威海银行","流水分析","流水解析工具采购项目，包括流水上传与处理、数据真实性与完整性校验、关联交易与可疑交易识别、现金流经营分析、流水分析结果导出与管理等功能","工具采购","2025年3月二次招标","待确定（招标中）"
"中原银行","智能信贷助手系统","基于大模型技术打造智能信贷助手系统，整合多源数据（年报、章程、财报、工商、涉诉等外部数据，客户基本信息、历史授信、抵质押等行内数据），通过对话意图识别与对话策略中心，结合大模型、检索增强生成（RAG）等AI技术，构建具备报告内容智能生成、辅助审批、智能决策等能力的智能信贷助手系统。","技术研发项目","2025年4月报道","中原银行自研"
"北京邮储银行","授信报告生成、智能尽调","基于大模型的智能抽取写作平台体系搭建服务，包含智能抽取写作平台落地投研、尽调报告生成、会议纪要等写作抽取场景，并提供结构化行业数据用于各类报告撰写引用","平台建设服务采购","2025年1月发布中标结果","北京融汇金信信息技术有限公司"
"青海省农村信用社联合社","""白领贷""产品线上化风控模型建设","青海省农商银行(农信社)系统""白领贷""产品线上化风控模型建设项目，通过询比采购方式建设线上化风控模型，提升信贷业务流程中的风险控制能力","询比采购","2025年4月2日发布公告","待确定"
"宁波银行","信贷容易贷产品全流程优化项目测试","信贷容易贷产品2025年全流程优化项目测试供应商召集，面向社会公开征集供应商，要求供应商具备信贷系统、实时决策系统等的测试经验，且测试经理要有同业信贷的团队管理经验。","供应商征集公告","2024年12月发布征集公告，2025年项目","待确定"
"北京农商银行","e信通模型优化外部数据采购","针对现有e信通模型进行优化，包括准入、评分卡、定额定价、反欺诈以及贷后预警全流程环节涉及的数据内容，提升信贷业务全流程风险控制能力","公开招标","2024-2025年度","待确定"
"天津银行","智能尽调","AI智能尽调相关外部数据服务采购项目，为AI智能尽调提供外部数据支持服务","数据服务采购","2024年12月发布招标公告，预算60万元","待确定（招标中）"
"上海农村商业银行股份有限公司","电诈风险监测系统C模式新增模型师服务","2025年度电诈风险监测系统C模式新增模型师服务项目，提升反欺诈监测能力，涉及信贷业务中的风险防控","采购结果公告","2025年度","浙江邦盛科技股份有限公司"
"盛京银行","人工智能大模型平台硬件采购","2025年人工智能大模型平台硬件采购项目，预算金额为600万元，属于大模型基础设施建设。","招投标项目","2025年招标","待确定"
"青岛银行","大模型基础设施","数据中心大模型算力池建设所需软硬件资源采购项目，包含大模型算力平台建设，采购智算平台一体机及配套软件平台","软硬件资源采购","2025年4月招标","待确定（招标中）"
"贵阳银行","大模型智能中台能力建设","大模型智能中台能力建设项目（一期），中标金额为520万元，建设大模型智能中台能力。","招投标项目","2025年招标，一期项目","待确定"
"上海农商银行","个贷风险外部数据采购与模型建设","公开征集个贷部风险类外部数据采购项目供应商，项目编号JZCG2024000032，旨在通过多维度数据构建反欺诈评分、贷前信用评分及客户经济能力评估模型，提升个贷业务风险管理能力。项目分为三个包件：反欺诈评分、贷前信用评分、客户经济能力评估。","招标公告","2024年12月-2025年12月31日","公开征集供应商"
"常熟农商银行","新市民信用评分模型","自主研发的新市民信用评分模型成功入选苏州市级培育人工智能大模型名单，深度融合金融、政务、民生服务场景，通过机器学习算法模型精准画像新市民群体，已运用于新市民信贷审批流程中，有效缩短审批时间","自主研发项目","2025年2月入选市级培育名单","自主研发"
"湖北银行","财报分析、信贷材料智能分类","信贷财报自动识别系统项目，采购信贷财报自动识别系统，实现财报的自动识别和分析","系统采购","2025年1月发布竞争性磋商公告","待确定（招标中）"
"民生银行","代码大模型软件许可采购","代码大模型软件许可采购项目，采购软件升级包及相关授权，包括代码大模型产品软件及其配套服务，按年订阅服务的代码大模型软件许可，软件服务内容包括代码大模型的IDE辅助工具、AI工程化软件等。","征询公告","2025年12月发布征询公告","阿里云计算有限公司"
"招商银行","财报分析、智能尽调","企业App智能结算报告、移动财资数智升级采购项目，基于推理式模型建立对话式交互的智能数据分析服务，提供智能企业财资数据分析服务","服务采购","2025年3月发布供应商征集公告","待确定（招标中）"
"江苏江南农村商业银行","OCR通用大模型采购与应用","OCR通用大模型采购项目，预算48万元，中标金额45万元。该项目拟搭建一套OCR通用大模型，能迅速响应内部各类场景OCR应用需求，未来应用于信贷、营销、运营、办公、研发等多个方面，释放银行数字生产力，提高工作效率。","中标结果公告","2024年7月-9月","北京易道博识科技有限公司"
"浙江农村商业联合银行","新一代大信贷平台公共应用系统群","新一代大信贷平台公共应用系统群项目，包含信贷合同管理系统、押品管理系统、贷款利率中心、客户评级中心四套系统，以及项目投产后定制化开发人天服务","公开招标","2024年11月29日发布公告","待确定"
"北京银行","信审、智能审计","新风系统项目二期--图分析平台(智能审计模型)改造项目，完成图分析平台智能审计模型改造，提升审计智能化水平","平台改造","2025年3月发布竞争性磋商公告，预算29.28万元","待确定（招标中）"
"江苏银行","信贷审核智能应用","成功本地化部署DeepSeek-VL2多模态模型和DeepSeek-R1推理模型，将信贷材料综合识别准确率提升至超97%，信贷审核全流程效率提升了20%，应用于智能合同质检和自动化估值对账场景。","技术部署应用","2025年2月部署应用","DeepSeek"
"江苏江南农村商业银行股份有限公司","预期信用损失法实施模型全面验证","预期信用损失法实施模型全面验证采购项目，预算80万元。通过对预期信用损失实施模型进行全面验证，分析银行在实施过程中的不足，并提出优化建议，进一步提升银行预期信用算法实施流程的规范性、有效性。同时实现知识体系转移、方法技术等模版工具的获取与内化。","招标公告","2024年7月，项目实施周期不超过4个月","待确定（招标中）"
"河南内乡农村商业银行股份有限公司","整村授信及信贷产能提升辅导服务","2025年整村授信及信贷产能提升辅导服务项目，通过竞争性磋商方式采购整村授信及信贷产能提升辅导服务，提升农村信贷业务效率","竞争性磋商","2025年4月1日发布公告，服务期限3个月","待确定"
"天津滨海农村商业银行","大数据平台及风险预警系统建设","基于大数据平台和外部数据建立覆盖授信全部产品、流程贯穿业务始终、监控涉及宏观微观的客户风险管理系统，建立贷前贷中贷后全流程风险预警和大数据准入和信用评估机制，实现客户风险视图、信息探索、信息收集、准入验证、反欺诈、信用评分、授信额度、贷后监控、催收管理等功能","供应商征集公告","2025年3月发布","待确定"
"浙江农商联合银行","企业级基础大模型采购","企业级基础大模型采购公开招标，采购内容主要包含千亿级参数基础大模型及模型升级、定制化人天服务。投标人资格要求之一为：投标单位自2021年1月1日以来，具有至少1家2023年度我国系统重要性银行的大模型相关项目案例。","招标公告","2024年10月","待确定（招标中）"
"云南陆良农村商业银行股份有限公司","整村授信外拓引导服务","2025年整村授信外拓引导服务招标项目，通过公开招标方式采购整村授信外拓引导服务，拓展农村信贷市场","公开招标","2025年2月7日发布公告","待确定"
"富滇银行","大模型基础设施","2025年大模型服务器租赁项目，租赁大模型服务器支持大模型应用","服务器租赁","2025年4月发布招标公告","待确定（招标中）"
"中国银行","授信报告生成","中国银行已完成DeepSeek R1模型的内部部署，并在授信报告生成等信贷场景应用。该行大模型技术已在总分行落地员工问答、智能研发、报告生成等10余个场景。","大模型技术部署与应用","2024年部署完成并持续应用","DeepSeek（模型提供方）"
"农业银行","信贷策略确定与风险评估","农业银行已完成DeepSeek全系列大模型在行内的部署运用，申请了多项信贷相关大模型专利，包括信贷策略确定方法、信贷风险评估模型构建方法等。","大模型技术部署与专利研发","2024年部署完成并持续研发","DeepSeek（模型提供方）"
"河北正定农村商业银行","基于大数据的信贷流程再造系统建设","基于大数据的信贷流程再造系统建设项目，通过大数据技术优化信贷业务流程，提升信贷业务效率和风险控制能力，实现信贷流程的数字化、智能化再造","中标候选人公示","2025年1月开标，2025年1月公示","本邦数科(北京)技术有限公司"
"交通银行","授信报告生成、审贷联动助手","交通银行浙江省分行基于总行千亿级金融大模型底座，通过大小模型协同打造音视频远程尽调、审贷联动助手、授信报告辅助生成等场景应用，提升金融服务智能化水平","软件系统建设与技术服务","2024年持续实施","交通银行自有技术团队"
"顺德农商银行","信贷风控与催收服务","2025年大零售全客群线上贷款服务项目单一来源采购，在保证现有全客群线上贷款业务连续性及一致性的情况下，持续提供风控服务以及催收服务。意向供应商为新希望金融信息有限公司。","单一来源采购公告","2025年","新希望金融信息有限公司"
"徽商银行","AI大模型综合服务平台采购","AI大模型综合服务平台采购项目第二次招标，预算584万元。为提升银行智能化水平和金融服务能力，赋能远程银行建设，提高行内办公和面客服务效率，建设AI大模型综合服务平台，基于大模型的通用能力，完成一系列面向业务场景的应用建设，解决工作痛点，创造新的价值增长点。","招标公告","2024年10月","待确定（招标中）"
"宁夏黄河农村商业银行股份有限公司","AI服务器搭建多场景智能应用","黄河农商银行采购AI服务器搭建多场景智能应用项目，通过竞争性磋商方式采购AI服务器及多场景智能应用解决方案，润和软件以218.8万元中标","竞争性磋商","2025年11月10日中标结果公示","江苏润和软件股份有限公司"
"交通银行","风险管理、信用风险评估","交通银行2025-2028年人工智能专家服务框架采购项目，包含包件二风险管理，适用需求包括反欺诈、反洗钱、信用风险评估、贷中监控、逾期管理等信贷风险管理方面人工智能应用需求","专家服务框架采购","2025-2028年","多家供应商（招标中）"
"邮储银行","智能审贷助手","""邮智""大模型适配吸收多款主流大模型，开展230余项大模型场景建设。""智能审贷助手""每天支持三农、信用卡等信审场景超3万笔业务，对十余种图像进行有效识别、提取以及分类，审贷效率进一步提升。","技术应用","2025年9月报道","邮储银行自研"
"广州农村商业银行","OCR模型训练","模型训练平台项目公开招标，为满足业务发展需要，提升业务办理效率和数据准确性。项目预算金额为万元，资金来源为企业自筹。","公开招标公告","2024年9月","待定（招标中）"
"山西农商联合银行","普e贷产品咨询服务及产品相关数据采购","普e贷产品咨询服务主要包括构建多维度数据基石、搭建贷前辅助审批策略、制定贷中定额策略、利率水平制定、建立贷后辅助监控产品运行机制。普e贷产品相关数据主要包括税务、发票、工商、司法等外部数据","竞争性磋商采购公告","2024年12月发布，服务期限4个月完成咨询及模型上线工作，数据采购期限为一年","待确定"
"安徽省农村信用社联合社","金农易贷风控与运营模型咨询服务","金农易贷风控与运营模型咨询服务（二次）招标，项目控制价120万元。采购金农易贷风控与运营模型咨询服务，全面提升'金农易贷'业务风控能力，提升农商银行存量客户运营能力。要求投标人2021年1月1日至今具有银行业线上贷款业务风控模型和运营模型实施案例。","招标公告","2024年10月","待确定（招标中）"
"邮储银行","智能尽调、尽调报告生成","邮储银行北京分行基于大模型的智能抽取写作平台建设服务采购项目，包含智能抽取写作平台落地投研、尽调报告生成、会议纪要等写作抽取场景","软件系统采购与集成服务","2024年11月-2025年","北京融汇金信信息技术有限公司"
"中国工商银行","授信审批风控助手""工小审""","工商银行打造了集信贷制度查询、报告编写、风险评估、数据分析、审贷建议等能力于一体的专属授信审批风控助手""工小审""，实现对公信贷全场景""智慧审贷""。该助手基于""工银智涌""大模型矩阵体系，显著提升业务效率和智能化风控水平。","大模型应用系统","2025年3月部署","工商银行自主研发"
"东莞农村商业银行","大模型基础应用","大模型基础应用项目市场调研公告，要求供应商在2022年1月1日后至少提供所投品牌2个及以上大模型基础应用相关的金融机构建设案例业绩。","市场调研公告","2025年3月","待定（调研阶段）"
"邮储银行","数据分析大模型、信贷业务支撑","邮储银行大模型平台软件开发采购项目，用于搭建全行统一大模型平台，包含数据分析大模型等4个业务场景建设，为信贷业务大模型应用提供基础支撑","软件开发服务采购","2024年9月启动","待定（招标中）"
"平安银行","风险智策中心项目","风险智策中心项目入选""2025年度银行业数字金融典型实践优秀案例""，通过建设统一化、集中化、智能化的风控平台系统，推动零售信贷风险全生命周期闭环管理，全面提升风险识别与管控能力。","数字金融实践案例","2025年11月入选典型案例","平安银行自研"
